Book,Character
Harry Potter and the Prisoner of Azkaban,This is also the only book in the series in which the title is not referred to at all in the text (the phrase 'prisoner of Azkaban' never appears in the book.)
Harry Potter and the Prisoner of Azkaban,"One of the biggest morals from the series is that it is not one's abilities that make them who they are; it is their choices. However, the climax of this book possibly creates a predestination paradox, which, essentially, negates the doctrine of free will."
Harry Potter and the Prisoner of Azkaban,This is the only book where the main antagonist is not directly or indirectly (in the case of book 5) influenced by Voldemort or is Voldemort himself.
Harry Potter and the Prisoner of Azkaban,"When Harry restrained Lupin and Sirius from killing Pettigrew, he (arguably) made the first mistake that led to the second rise of Lord Voldemort."
Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban introduces four different magical elements that take on a unique property based on the specific wizard—the Dementor (which causes a wizard to experience their worst memories), the Boggart (which takes the form of a wizard's greatest fear), the Patronus Charm (which creates an animal guardian specific to each wizard), and the Animagus transformation (in which a wizard may transform into an animal form that is unknown to them until they undergo the transformation for the first time.)"
Harry Potter and the Prisoner of Azkaban,"Professor Lupin prevented Harry from confronting the Boggart in the cabinet because he feared that the Boggart would turn into Lord Voldemort. However, Harry didn't know what Voldemort really looked like, since his only encounter at this point with Voldemort was during the Philosopher's Stone two years ago, when he was possessing Professor Quirrell, not to mention Harry had never seen any kind of drawing or photograph of Voldemort. So, the Boggart might have taken Quirrell's form if Harry's fear was Lord Voldemort, potentially that of the face of Lord Voldemort which emerged from the back of Quirrell's head."
Harry Potter and the Prisoner of Azkaban,"The first book in which Harry does not prevent the return of Lord Voldemort. Instead, he arguably helps Voldemort return by stopping Sirius Black and Remus Lupin from killing Peter Pettigrew, who in turn would help Voldemort return to his body in the next book."
Harry Potter and the Prisoner of Azkaban,"This book breaks a lot of the plot details from the previous two books. Them being; This is the first book in the series where the climax doesn't take place in an underground chamber of Hogwarts, the first book where Dumbledore is present at Hogwarts during the climax (as he was absent from the school in the first two books' climax), the first of only two books in the series where Voldemort doesn't appear, and the only book in the series where Voldemort isn't the main villain."
Harry Potter and the Prisoner of Azkaban,"Another bit of foreshadowing takes place in the chapter Aunt Marge's Big Mistake. When Uncle Vernon watches the news report about Sirius Black, he gets mad that the reporter didn't say where he escaped from and comments, ""Lunatic could be coming up the street right now!"" He does not know that in a week, this will be true."
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban (film)
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban (soundtrack)
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban (video game)
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban (character index)
Harry Potter and the Prisoner of Azkaban,Third year
Harry Potter and the Goblet of Fire,Giles Greenfield (UK)
Harry Potter and the Goblet of Fire,Jonny Duddle (UK) (Children's Edition redesign)
Harry Potter and the Goblet of Fire,Mary GrandPré (US)
Harry Potter and the Goblet of Fire,Kazu Kibuishi (US) (15th Anniversary Edition)
Harry Potter and the Goblet of Fire,Olly Moss (Pottermore eBook)
Harry Potter and the Goblet of Fire,Mary GrandPré (US)
Harry Potter and the Goblet of Fire,Stephen Fry (UK)
Harry Potter and the Goblet of Fire,Jim Dale (US)
Harry Potter and the Goblet of Fire,"Bloomsbury (UK, Canada)"
Harry Potter and the Goblet of Fire,Scholastic (US)
Harry Potter and the Goblet of Fire,Raincoast Books (Canada (formerly))
Harry Potter and the Goblet of Fire,Yapı Kredi Yayınları (Turkey)
Harry Potter and the Goblet of Fire,636 (UK)
Harry Potter and the Goblet of Fire,734 (US)
Harry Potter and the Goblet of Fire,660 (Turkey)
Harry Potter and the Goblet of Fire,1 Dedication
Harry Potter and the Goblet of Fire,2 Book description
